,Unnamed: 0,Unnamed: 0.1,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,ranks,readability,solutions
0,0,0,5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Orange'}",Tonya B.,Great product and price!,Five Stars,1441324800,,,"[('price', 0.3608563763907034), ('Great product', 0.32630275732572994)]",97.025,out
1,1,1,5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Black (37467610) / Red/White'}",Tonya B.,Great product and price!,Five Stars,1441324800,,,"[('price', 0.3608563763907034), ('Great product', 0.32630275732572994)]",97.025,out
2,2,2,5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Gray Logo'}",Tonya B.,Great product and price!,Five Stars,1441324800,,,"[('price', 0.3608563763907034), ('Great product', 0.32630275732572994)]",97.025,out
3,3,3,5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",Tonya B.,Great product and price!,Five Stars,1441324800,,,"[('price', 0.3608563763907034), ('Great product', 0.32630275732572994)]",97.025,out
4,4,4,5.0,True,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,"{'Size:': ' Big Boys', 'Color:': ' Blue/Pink'}",Tonya B.,Great product and price!,Five Stars,1441324800,,,"[('price', 0.3608563763907034), ('Great product', 0.32630275732572994)]",97.025,out
5,5,5,3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' White/Black'}",NaeNae,Waaay too small. Will use for futur children!,Oops!,1430870400,,,"[('futur children', 0.3858712737956298)]",97.025,in
6,6,6,5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue/Orange'}",NaeNae,Stays vibrant after many washes,Great,1430870400,,,"[('Stays', 0.18263162765420737)]",49.48000000000002,in
7,7,7,5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue (37867638-99) / Yellow'}",NaeNae,Stays vibrant after many washes,Good,1430870400,,,"[('Stays', 0.18263162765420737)]",49.48000000000002,in
8,8,8,5.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Blue/Pink'}",NaeNae,My son really likes the pink. Ones which I was nervous about,Great,1430870400,,,"[('Ones', 0.17776537474909693), ('the pink', 0.13331231194853033), ('My son', 0.08210630957118865), ('I', 0.0), ('which', 0.0)]",80.89500000000001,in
9,9,9,3.0,True,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,"{'Size:': ' Little Boys', 'Color:': ' Light Blue/Red'}",NaeNae,Waaay too small. Will use for future child.,Oops!,1430870400,,,"[('future child', 0.3858712737956298)]",107.6,in
